# Time-averaged data for fix dave
# TimeStep v_rho
251000 0.784094
252000 0.783916
253000 0.778834
254000 0.775802
255000 0.775362
256000 0.775393
257000 0.774903
258000 0.775256
259000 0.77549
260000 0.775818
261000 0.775627
262000 0.775387
263000 0.775964
264000 0.776462
265000 0.77674
266000 0.776316
267000 0.77523
268000 0.775369
269000 0.775074
270000 0.775779
271000 0.775873
272000 0.775393
273000 0.775648
274000 0.775693
275000 0.77562
276000 0.775451
277000 0.775647
278000 0.775775
279000 0.775975
280000 0.775597
281000 0.775865
282000 0.776024
283000 0.776235
284000 0.776107
285000 0.775897
286000 0.775787
287000 0.775713
288000 0.775738
289000 0.775801
290000 0.775775
291000 0.775889
292000 0.775893
293000 0.776024
294000 0.776098
295000 0.776145
296000 0.776253
297000 0.776265
298000 0.776354
299000 0.776449
300000 0.776329
301000 0.776491
302000 0.776658
303000 0.776648
304000 0.776447
305000 0.77634
306000 0.776238
307000 0.776239
308000 0.776225
309000 0.776188
310000 0.77597
311000 0.775921
312000 0.775977
313000 0.776035
314000 0.776079
315000 0.776061
316000 0.776162
317000 0.776271
318000 0.776383
319000 0.776423
320000 0.776488
321000 0.776508
322000 0.776489
323000 0.776581
324000 0.776781
325000 0.776835
326000 0.776785
327000 0.776842
328000 0.777074
329000 0.777202
330000 0.777275
331000 0.777456
332000 0.777738
333000 0.778021
334000 0.778148
335000 0.778369
336000 0.778558
337000 0.778724
338000 0.778816
339000 0.778935
340000 0.77911
341000 0.779265
342000 0.779366
343000 0.779433
344000 0.779422
345000 0.779395
346000 0.779356
347000 0.77933
348000 0.779395
349000 0.779455
350000 0.779564
351000 0.779685
352000 0.779757
353000 0.779797
354000 0.779771
355000 0.7797
356000 0.779712
357000 0.77976
358000 0.779859
359000 0.779972
360000 0.779971
361000 0.779929
362000 0.779811
363000 0.779691
364000 0.779711
365000 0.779799
366000 0.779785
367000 0.779849
368000 0.779892
369000 0.77987
370000 0.779863
371000 0.779775
372000 0.779756
373000 0.779763
374000 0.779755
375000 0.779752
376000 0.779711
377000 0.779679
378000 0.779653
379000 0.779691
380000 0.779727
381000 0.779833
382000 0.779887
383000 0.779968
384000 0.780013
385000 0.780038
386000 0.780104
387000 0.780105
388000 0.780198
389000 0.780274
390000 0.780334
391000 0.780336
392000 0.780334
393000 0.780245
394000 0.780152
395000 0.780179
396000 0.780197
397000 0.780176
398000 0.780242
399000 0.780267
400000 0.780319
401000 0.780325
402000 0.780316
403000 0.780365
404000 0.780325
405000 0.780315
406000 0.780352
407000 0.78033
408000 0.780371
409000 0.780361
410000 0.780313
411000 0.780212
412000 0.780128
413000 0.780164
414000 0.780175
415000 0.780213
416000 0.780248
417000 0.780279
418000 0.78033
419000 0.780379
420000 0.780471
421000 0.780531
422000 0.780593
423000 0.780626
424000 0.780659
425000 0.780714
426000 0.780775
427000 0.78083
428000 0.780857
429000 0.780859
430000 0.780905
431000 0.780938
432000 0.781013
433000 0.780993
434000 0.781002
435000 0.781033
436000 0.781105
437000 0.781127
438000 0.781135
439000 0.781172
440000 0.781218
441000 0.781264
442000 0.781246
443000 0.78121
444000 0.78115
445000 0.781086
446000 0.781079
447000 0.781129
448000 0.781164
449000 0.781204
450000 0.78126
451000 0.781263
452000 0.781258
453000 0.781226
454000 0.781272
455000 0.781313
456000 0.781366
457000 0.781434
458000 0.7815
459000 0.781539
460000 0.781534
461000 0.781576
462000 0.781495
463000 0.781534
464000 0.781571
465000 0.781649
466000 0.781689
467000 0.78172
468000 0.781728
469000 0.781758
470000 0.78181
471000 0.781831
472000 0.781832
473000 0.781791
474000 0.781756
475000 0.78171
476000 0.781693
477000 0.781686
478000 0.781664
479000 0.781645
480000 0.781607
481000 0.781574
482000 0.781541
483000 0.781513
484000 0.781456
485000 0.781426
486000 0.781385
487000 0.781398
488000 0.781395
489000 0.781403
490000 0.781449
491000 0.781485
492000 0.781501
493000 0.781522
494000 0.781591
495000 0.781618
496000 0.781684
497000 0.781755
498000 0.781792
499000 0.781831
500000 0.781858
501000 0.781898
502000 0.78194
503000 0.781932
504000 0.781939
505000 0.781946
506000 0.781987
507000 0.782033
508000 0.782084
509000 0.782131
510000 0.782212
511000 0.782238
512000 0.782251
513000 0.782291
514000 0.782314
515000 0.782348
516000 0.782414
517000 0.782435
518000 0.78245
519000 0.782449
520000 0.782479
521000 0.782489
522000 0.78252
523000 0.78253
524000 0.782508
525000 0.782486
526000 0.782479
527000 0.782515
528000 0.782516
529000 0.782515
530000 0.782534
531000 0.782547
532000 0.782552
533000 0.782617
534000 0.782667
535000 0.78269
536000 0.78269
537000 0.782673
538000 0.782679
539000 0.782694
540000 0.78272
541000 0.782707
542000 0.782653
543000 0.782613
544000 0.78262
545000 0.78262
546000 0.782604
547000 0.782626
548000 0.78262
549000 0.782645
550000 0.782673
551000 0.782701
552000 0.782723
553000 0.782731
554000 0.782709
555000 0.782679
556000 0.782653
557000 0.782625
558000 0.782634
559000 0.782636
560000 0.782587
561000 0.782577
562000 0.782508
563000 0.78247
564000 0.782411
565000 0.782374
566000 0.782338
567000 0.782315
568000 0.782298
569000 0.782292
570000 0.782285
571000 0.782241
572000 0.782199
573000 0.782166
574000 0.78215
575000 0.782182
576000 0.782199
577000 0.782226
578000 0.782234
579000 0.782248
580000 0.782268
581000 0.782292
582000 0.782285
583000 0.782262
584000 0.782228
585000 0.782195
586000 0.782137
587000 0.782131
588000 0.782126
589000 0.782132
590000 0.782107
591000 0.782057
592000 0.782025
593000 0.782028
594000 0.782046
595000 0.782037
596000 0.78205
597000 0.782048
598000 0.782013
599000 0.781991
600000 0.781981
601000 0.781981
602000 0.781989
603000 0.781955
604000 0.781925
605000 0.781919
606000 0.781878
607000 0.781841
608000 0.78181
609000 0.781798
610000 0.7818
611000 0.781788
612000 0.781811
613000 0.781837
614000 0.781852
615000 0.781867
616000 0.78188
617000 0.781903
618000 0.781908
619000 0.781914
620000 0.781938
621000 0.781961
622000 0.781991
623000 0.782011
624000 0.782019
625000 0.782036
626000 0.782038
627000 0.782012
628000 0.782002
629000 0.781993
630000 0.782009
631000 0.782006
632000 0.782003
633000 0.782005
634000 0.782015
635000 0.78203
636000 0.782043
637000 0.782033
638000 0.781991
639000 0.781966
640000 0.781938
641000 0.781919
642000 0.781909
643000 0.781877
644000 0.781882
645000 0.781883
646000 0.781888
647000 0.78188
648000 0.781892
649000 0.781874
650000 0.781874
651000 0.781875
652000 0.781905
653000 0.781931
654000 0.781929
655000 0.781944
656000 0.781942
657000 0.781952
658000 0.78198
659000 0.782014
660000 0.78202
661000 0.782056
662000 0.782092
663000 0.782125
664000 0.782156
665000 0.782195
666000 0.782227
667000 0.782252
668000 0.782271
669000 0.782257
670000 0.78225
671000 0.782289
672000 0.782315
673000 0.782374
674000 0.782411
675000 0.782417
676000 0.78242
677000 0.78241
678000 0.782394
679000 0.782383
680000 0.78238
681000 0.782401
682000 0.782411
683000 0.782436
684000 0.782449
685000 0.782475
686000 0.782451
687000 0.782458
688000 0.782476
689000 0.782474
690000 0.782487
691000 0.782502
692000 0.782529
693000 0.782545
694000 0.782543
695000 0.782543
696000 0.782526
697000 0.782516
698000 0.782505
699000 0.782507
700000 0.782521
701000 0.782522
702000 0.782517
703000 0.78254
704000 0.782542
705000 0.7825
706000 0.782492
707000 0.782504
708000 0.782469
709000 0.782435
710000 0.782416
711000 0.782404
712000 0.782417
713000 0.782429
714000 0.782429
715000 0.782409
716000 0.782397
717000 0.782372
718000 0.782358
719000 0.782325
720000 0.782301
721000 0.782303
722000 0.782322
723000 0.782347
724000 0.782382
725000 0.782397
726000 0.782404
727000 0.782413
728000 0.782444
729000 0.782479
730000 0.78249
731000 0.78248
732000 0.782479
733000 0.782484
734000 0.782501
735000 0.782515
736000 0.782542
737000 0.782565
738000 0.782591
739000 0.782608
740000 0.782612
741000 0.78264
742000 0.782662
743000 0.782671
744000 0.782677
745000 0.782686
746000 0.782682
747000 0.782698
748000 0.782716
749000 0.782731
750000 0.782731
751000 0.782741
752000 0.782758
753000 0.782771
754000 0.782786
755000 0.782816
756000 0.782823
757000 0.782797
758000 0.782784
759000 0.782766
760000 0.782756
761000 0.782753
762000 0.78278
763000 0.782799
764000 0.782818
765000 0.782835
766000 0.782861
767000 0.78288
768000 0.782909
769000 0.782924
770000 0.782963
771000 0.782988
772000 0.782999
773000 0.783019
774000 0.783026
775000 0.783013
776000 0.78301
777000 0.783014
778000 0.783027
779000 0.783036
780000 0.783048
781000 0.78305
782000 0.783064
783000 0.783048
784000 0.783034
785000 0.783009
786000 0.782994
787000 0.782997
788000 0.783001
789000 0.782994
790000 0.783004
791000 0.783002
792000 0.782982
793000 0.782978
794000 0.782963
795000 0.782971
796000 0.78297
797000 0.782969
798000 0.782962
799000 0.78296
800000 0.782965
801000 0.782965
802000 0.78296
803000 0.78293
804000 0.782947
805000 0.782969
806000 0.783
807000 0.782993
808000 0.783003
809000 0.783034
810000 0.783047
811000 0.783039
812000 0.783035
813000 0.78304
814000 0.783059
815000 0.783068
816000 0.783076
817000 0.783099
818000 0.783101
819000 0.783101
820000 0.783103
821000 0.783114
822000 0.783133
823000 0.783158
824000 0.783163
825000 0.783159
826000 0.783146
827000 0.783149
828000 0.783143
829000 0.783155
830000 0.78317
831000 0.783173
832000 0.783179
833000 0.783188
834000 0.783186
835000 0.783184
836000 0.783196
837000 0.783208
838000 0.783218
839000 0.783228
840000 0.783227
841000 0.783223
842000 0.78323
843000 0.783228
844000 0.783221
845000 0.783227
846000 0.783241
847000 0.783249
848000 0.783247
849000 0.78324
