# step temp press density pxx pyy pzz pxy pxz pyz pe ke etotal evdwl ecoul epair ebond eangle edihed eimp emol etail enthalpy vol
0 373.14999999999986358 71410.974293944513192 1.0000083409730966544 67876.665286745206686 71036.652309635697748 75319.605285452620592 8131.6423271538469635 -9355.3574511192800855 334.22114912622578231 7852.9150733155038324 2193.4344407505891468 10046.349514066092524 1535.0888430594159217 942.72335335867569484 2477.812196418091844 1024.0186117080083932 3599.8502569344527728 751.23400825495104982 0 5375.102876897412898 -36.851475120300243304 25873.129593099278281 15196.785022227375521
1000 1011.5727101163691941 34574.198843273414241 1.0000083409730966544 31510.541808716217929 30650.522912702519534 41561.531808401508897 -2058.0295656041394068 3225.2196913228262929 5226.7095401791757467 6798.8659089711418346 5946.1836304238422599 12745.049539394984095 -148.13691715895953394 514.70342930433650963 366.56651214537686201 1924.8492659353819363 3550.4094711527914114 957.04065973759145436 0 6432.2993968257651431 -36.851475120300243304 20407.712693224169925 15196.785022227375521
2000 981.8964799774456651 28990.998035007949511 1.0000083409730966544 21154.418503838343895 29210.256980408943491 36608.318620776553871 1413.2109011901184203 -1335.5202919327753079 2553.6776643302428056 6256.1090002514356456 5771.7420780766487951 12027.851078328083531 -369.69889658823097989 310.60851443988855181 -59.090382148342349922 1997.7524716685329622 3376.1600315900946043 941.28687914115084823 0 6315.1993823997781874 -36.851475120300243304 18453.112107299399213 15196.785022227375521
3000 1031.1691329650095668 27842.56558898881849 1.0000083409730966544 26653.049574353943171 27220.69508064576803 29653.952111966769735 1909.8182261459380697 473.43129712439457535 -251.92310017420072654 6214.8363962644671119 6061.3744887696002479 12276.21088503406645 -439.94429086523922479 278.3760040439065051 -161.56828682133269126 2001.8511073521838171 3450.4785276429038277 924.07504809071178897 0 6376.4046830858005706 -36.851475120300243304 18446.945380255059717 15196.785022227375521
4000 1014.0344704594713221 26222.414321582531556 1.0000083409730966544 24293.355797201304085 27834.294487872179161 26539.592679674122337 -2684.6984678486614939 1280.4379097510093288 1931.2382838141229513 6143.9405308566683743 5960.6542452474641323 12104.594776104131597 -483.79038570890594428 246.51362538236713817 -237.27676032653889138 1967.3609853159780414 3495.1922765936787982 918.6640292735512503 0 6381.2172911832076352 -36.851475120300243304 17916.255920799776504 15196.785022227375521
5000 972.57422562821204792 22292.620087963365222 1.0000083409730966544 24269.854969526415516 20640.721055756726855 21967.284238606935105 3315.2480243050363242 -2370.414892563907415 -749.15764126139083601 6349.5719151364755817 5716.9443995156243545 12066.516314652100846 -464.14979439871200384 219.35570726915190676 -244.79408712956006866 2099.6604127453961155 3563.0986537215530916 931.60693579908706852 0 6594.3660022660360482 -36.851475120300243304 17007.219042853808787 15196.785022227375521
6000 1014.0502416227908498 26341.573335627592314 1.0000083409730966544 27773.763562640622695 25290.8769161185337 25960.079528123605996 -305.35717943646324102 2701.733205657347753 -2277.6133998900872939 6008.0197955151597853 5960.7469506281304348 11968.76674614329022 -481.73113416042605195 278.80807824058666711 -202.92305591983935642 2066.5070837010498508 3221.8559356881587519 922.57983204579090852 0 6210.9428514350001933 -36.851475120300243304 17806.837046131549869 15196.785022227375521
7000 995.47625146514690186 28260.836827709736099 1.0000083409730966544 27885.945722361193475 29582.271185413021158 27314.293575355000939 -4122.246082185342857 -3166.795733263834336 765.32431508380068408 6264.9872704745321244 5851.5661125899723629 12116.553383064503578 -436.0150328565122777 215.54936306579020311 -220.46566979072201775 2085.1275014305697368 3458.7379958842302585 941.58744295045380568 0 6485.4529402652533463 -36.851475120300243304 18379.989132876587973 15196.785022227375521
8000 1016.6438922454113936 29366.431154484820581 1.0000083409730966544 29722.058530302179861 29984.638759854267846 28392.596173298003123 2856.3509144493946224 5470.1814509013911447 -2301.8268259232927448 6118.3750044041553338 5975.9928372767435576 12094.367841680897982 -450.03978806705066518 125.43171449579376997 -324.60807357125679573 1979.8452938583996001 3518.430662555238996 944.70712156177364704 0 6442.9830779754120158 -36.851475120300243304 18602.835933363436197 15196.785022227375521
9000 1002.3367817043592822 28371.917300609780796 1.0000083409730966544 25636.47205689184193 29788.076333359178534 29691.203511578318285 -996.03762088914902506 -2502.0550959357942702 3572.4986172564449589 6161.3109340054452332 5891.8933893111279758 12053.204323316573209 -413.11252298368225411 316.42423741450414809 -96.688285569178120227 1986.3548590635227811 3351.9123683239431557 919.73199218715797087 0 6257.9992195746235666 -36.851475120300243304 18341.258785211026407 15196.785022227375521
