# Time-averaged data for fix dave
# TimeStep v_rho
251000 0.838904
252000 0.824128
253000 0.81474
254000 0.809906
255000 0.804795
256000 0.802329
257000 0.801719
258000 0.80181
259000 0.800969
260000 0.801062
261000 0.800062
262000 0.799871
263000 0.798994
264000 0.798699
265000 0.798662
266000 0.797284
267000 0.796764
268000 0.796018
269000 0.794713
270000 0.793937
271000 0.793762
272000 0.793711
273000 0.793789
274000 0.794318
275000 0.794613
276000 0.795147
277000 0.795782
278000 0.796512
279000 0.797286
280000 0.798151
281000 0.79845
282000 0.798978
283000 0.799204
284000 0.799124
285000 0.799443
286000 0.799644
287000 0.800021
288000 0.799962
289000 0.800203
290000 0.800041
291000 0.799955
292000 0.799855
293000 0.800026
294000 0.800474
295000 0.800748
296000 0.801025
297000 0.801707
298000 0.802183
299000 0.802581
300000 0.802968
301000 0.803457
302000 0.803833
303000 0.804202
304000 0.804412
305000 0.804571
306000 0.804819
307000 0.805071
308000 0.805154
309000 0.805323
310000 0.80534
311000 0.805541
312000 0.805862
313000 0.806181
314000 0.806386
315000 0.806675
316000 0.806833
317000 0.806953
318000 0.806823
319000 0.806827
320000 0.806745
321000 0.80689
322000 0.806938
323000 0.807103
324000 0.80722
325000 0.807332
326000 0.807293
327000 0.807348
328000 0.807396
329000 0.807579
330000 0.807607
331000 0.807866
332000 0.808094
333000 0.808262
334000 0.808346
335000 0.808342
336000 0.808386
337000 0.808429
338000 0.808503
339000 0.808457
340000 0.808451
341000 0.808447
342000 0.808406
343000 0.808304
344000 0.808201
345000 0.808111
346000 0.80793
347000 0.807737
348000 0.807433
349000 0.80727
350000 0.807061
351000 0.807001
352000 0.806861
353000 0.806707
354000 0.806567
355000 0.80645
356000 0.806389
357000 0.806224
358000 0.806112
359000 0.805993
360000 0.80596
361000 0.805804
362000 0.805762
363000 0.805788
364000 0.805914
365000 0.805798
366000 0.805645
367000 0.805635
368000 0.805407
369000 0.805182
370000 0.805052
371000 0.805019
372000 0.805003
373000 0.804864
374000 0.804754
375000 0.80458
376000 0.804339
377000 0.804217
378000 0.804063
379000 0.803969
380000 0.803874
381000 0.803827
382000 0.803785
383000 0.803843
384000 0.803821
385000 0.803865
386000 0.80383
387000 0.803784
388000 0.803749
389000 0.803744
390000 0.803707
391000 0.803687
392000 0.80361
393000 0.803508
394000 0.803397
395000 0.803345
396000 0.803315
397000 0.803279
398000 0.803242
399000 0.803127
400000 0.803102
401000 0.80314
402000 0.803148
403000 0.803214
404000 0.803215
405000 0.803235
406000 0.803229
407000 0.803312
408000 0.803288
409000 0.803265
410000 0.803262
411000 0.803258
412000 0.80322
413000 0.803249
414000 0.803245
415000 0.80325
416000 0.803211
417000 0.803206
418000 0.80319
419000 0.803219
420000 0.803202
421000 0.803137
422000 0.803119
423000 0.80309
424000 0.803104
425000 0.803091
426000 0.803157
427000 0.803227
428000 0.803261
429000 0.80334
430000 0.803424
431000 0.803444
432000 0.803477
433000 0.803448
434000 0.803464
435000 0.803413
436000 0.803446
437000 0.803496
438000 0.80355
439000 0.803593
440000 0.803635
441000 0.803614
442000 0.803631
443000 0.803601
444000 0.803627
445000 0.803663
446000 0.803611
447000 0.803583
448000 0.803583
449000 0.803571
450000 0.803584
451000 0.803481
452000 0.803403
453000 0.803334
454000 0.803301
455000 0.803349
456000 0.803368
457000 0.803391
458000 0.803437
459000 0.803483
460000 0.803481
461000 0.803495
462000 0.803472
463000 0.803448
464000 0.803406
465000 0.803375
466000 0.803346
467000 0.80333
468000 0.803337
469000 0.80339
470000 0.803378
471000 0.80338
472000 0.803442
473000 0.803494
474000 0.803536
475000 0.803563
476000 0.803568
477000 0.803591
478000 0.803569
479000 0.803554
480000 0.803511
481000 0.803512
482000 0.803468
483000 0.803501
484000 0.803507
485000 0.803486
486000 0.803445
487000 0.803409
488000 0.803357
489000 0.803262
490000 0.803154
491000 0.803138
492000 0.803052
493000 0.803033
494000 0.803018
495000 0.802994
496000 0.802941
497000 0.802821
498000 0.802725
499000 0.802655
500000 0.802576
501000 0.802477
502000 0.802323
503000 0.802222
504000 0.802149
505000 0.802103
506000 0.802042
507000 0.802051
508000 0.802021
509000 0.802008
510000 0.801971
511000 0.801936
512000 0.801899
513000 0.801874
514000 0.801901
515000 0.801917
516000 0.801929
517000 0.801923
518000 0.80187
519000 0.801824
520000 0.801806
521000 0.80179
522000 0.801749
523000 0.801754
524000 0.801702
525000 0.801643
526000 0.801609
527000 0.801591
528000 0.801588
529000 0.801601
530000 0.801585
531000 0.801601
532000 0.801618
533000 0.801622
534000 0.801649
535000 0.801679
536000 0.801668
537000 0.80167
538000 0.801709
539000 0.801752
540000 0.801772
541000 0.801777
542000 0.801802
543000 0.801805
544000 0.801774
545000 0.801756
546000 0.801763
547000 0.801731
548000 0.801722
549000 0.801727
550000 0.801713
551000 0.801724
552000 0.801764
553000 0.801771
554000 0.801737
555000 0.801727
556000 0.801733
557000 0.801738
558000 0.801732
559000 0.801706
560000 0.801648
561000 0.801606
562000 0.80157
563000 0.80153
564000 0.801485
565000 0.801453
566000 0.80144
567000 0.80143
568000 0.801404
569000 0.801394
570000 0.801379
571000 0.801411
572000 0.801424
573000 0.801425
574000 0.801411
575000 0.801428
576000 0.801411
577000 0.801424
578000 0.801415
579000 0.801424
580000 0.80143
581000 0.801405
582000 0.801357
583000 0.801314
584000 0.801255
585000 0.801211
586000 0.801189
587000 0.801161
588000 0.801151
589000 0.801117
590000 0.80107
591000 0.801037
592000 0.801024
593000 0.801001
594000 0.800929
595000 0.800916
596000 0.800913
597000 0.800876
598000 0.800889
599000 0.800916
600000 0.800921
601000 0.800918
602000 0.800929
603000 0.800963
604000 0.800966
605000 0.800973
606000 0.80096
607000 0.800939
608000 0.800921
609000 0.800901
610000 0.800903
611000 0.800898
612000 0.800918
613000 0.800937
614000 0.800922
615000 0.800922
616000 0.800895
617000 0.800819
618000 0.800795
619000 0.800778
620000 0.800771
621000 0.800762
622000 0.80077
623000 0.800791
624000 0.800803
625000 0.800834
626000 0.800835
627000 0.800852
628000 0.800877
629000 0.800893
630000 0.800911
631000 0.800895
632000 0.800851
633000 0.80079
634000 0.800771
635000 0.800764
636000 0.800765
637000 0.80077
638000 0.800794
639000 0.800743
640000 0.800732
641000 0.800707
642000 0.800724
643000 0.800716
644000 0.800655
645000 0.800609
646000 0.800568
647000 0.800522
648000 0.800498
649000 0.800473
650000 0.800412
651000 0.800398
652000 0.800338
653000 0.800278
654000 0.800223
655000 0.800182
656000 0.800105
657000 0.800067
658000 0.800002
659000 0.799971
660000 0.799905
661000 0.799868
662000 0.799826
663000 0.799769
664000 0.799746
665000 0.799739
666000 0.799715
