# step temp press density pxx pyy pzz pxy pxz pyz pe ke etotal evdwl ecoul epair ebond eangle edihed eimp emol etail enthalpy vol
0 373.14999999999997726 31094.830918805713736 1.1703737670099627621 31892.402227312966716 31549.388023556668486 29842.702505547509645 477.19739766260278202 -297.63623492073469379 2245.4004393692703161 88.767972886026200285 722.98802560237493253 811.75599848840113282 -439.39851673651605779 0 -439.39851673651605779 16.812402667525443434 107.65025278668895226 403.70383416832783041 0 528.16648962254225808 -35.392529739428283619 6699.8236949511647254 12984.005940195651419
1000 1089.7657808654491873 37398.111919628077885 1.1703737670099627621 41065.789375875290716 38484.500071860355092 32644.046311148595123 2400.5204619468022429 1722.0916961307937072 1593.593818567569997 2194.3528906857418406 2111.4501146373886513 4305.8030053231304919 -13.495673751301353605 0 -13.495673751301353605 690.61464744684121797 766.28677770026172311 750.94713928994019625 0 2207.8485644370430236 -35.392529739428283619 11387.449960653113521 12984.005940195651419
2000 961.85065960041526978 42886.337908897359739 1.1703737670099627621 43046.431748980183329 42966.987072875563172 42645.594904836310889 -689.84988302048714104 -2749.3693795098470218 -1285.1185056005333536 1960.225205399829747 1863.6111732784304422 3823.8363786782601892 -103.5214079440304431 0 -103.5214079440304431 632.68428292100907129 660.11306339504142215 770.94926702780981032 0 2063.7466133438601901 -35.392529739428283619 11944.725073018960757 12984.005940195651419
3000 1045.4022524955532845 44983.31821631105413 1.1703737670099627621 46083.287186592366197 42448.509127310979238 46418.158335029824229 -343.42992523785306958 -281.73827708478222576 4454.1622564149238315 1973.8221047357451425 2025.4946013453986779 3999.3167060811438205 -138.17852529725573163 0 -138.17852529725573163 621.32792919053781588 725.46310715949687165 765.20959368296621506 0 2112.0006300330010163 -35.392529739428283619 12517.286254163802369 12984.005940195651419
4000 1009.0005123063332348 45591.856038872479985 1.1703737670099627621 40742.814672979926399 44284.129868376767263 51748.623575260739017 -2100.8836985846032803 -2009.2270243142449999 992.00592389797475334 2067.1884474631347075 1954.9652638996133192 4022.153711362748254 -131.30269419206811676 0 -131.30269419206811676 666.45722369067925683 752.88095142604379362 779.15296653848031383 0 2198.4911416552031369 -35.392529739428283619 12655.355013059241173 12984.005940195651419
5000 958.14574049560792446 40337.529095448364387 1.1703737670099627621 41106.166691406266182 36810.531208432978019 43095.889386505841685 -960.44602040641188978 1615.9709113240455736 473.70419748642120794 2022.4080615347813819 1856.4327942120999069 3878.8408557468810613 -120.93570546013906153 0 -120.93570546013906153 670.20344569928079181 665.77071651483242931 807.36960478080709436 0 2143.3437669949203155 -35.392529739428283619 11517.09116951184842 12984.005940195651419
6000 982.59152737144540879 44680.746768464057823 1.1703737670099627621 46640.268524387232901 47454.256423526479921 39947.715357478446094 674.7700903587240191 -281.49643026129467671 2000.0944411278842381 2153.1319079722429706 1903.7971548918753797 4056.9290628641183503 -149.47398828142013372 0 -149.47398828142013372 709.31838482620105424 816.93860960781898939 776.34890181964351541 0 2302.605896253663559 -35.392529739428283619 12517.604163114214316 12984.005940195651419
7000 942.68653988850769565 42879.311678676960582 1.1703737670099627621 43659.286190167775203 44008.96020635568857 40969.688639507417975 -2714.6259988825490836 -424.57217457515133674 2233.0876132735616011 1961.6877711179274684 1826.4801828646031936 3788.1679539825308893 -126.32690967855839403 0 -126.32690967855839403 640.37901539596555267 681.75802743750614354 765.87763796301396724 0 2088.0146807964856634 -35.392529739428283619 11907.726172550694173 12984.005940195651419
8000 964.89200159466429341 40420.43829831565381 1.1703737670099627621 43468.517539740947541 36316.64694260097167 41476.150412605034944 -1523.6215668145805466 -2098.6500164466187925 -4669.3340877988348439 1860.6693692338267283 1869.5038540866944459 3730.1732233205211742 -146.85033337232835038 0 -146.85033337232835038 592.47858619810710934 648.95826027135149161 766.08285613669636405 0 2007.5197026061550787 -35.392529739428283619 11384.12309179337899 12984.005940195651419
9000 1007.9845641462413823 41948.439142707764404 1.1703737670099627621 39323.0735217183028 44546.193258954226621 41976.050647450771066 2040.696460576299387 3314.4909195595887468 -2308.6811286267206924 1952.6544199671232036 1952.996837383790762 3905.6512573509139656 -202.64173739436111532 0 -202.64173739436111532 747.92778409811330675 649.14178908979374683 758.22658417357729377 0 2155.2961573614838926 -35.392529739428283619 11848.940933958627284 12984.005940195651419
10000 1000.2971491915476463 43486.590865869293339 1.1703737670099627621 48378.84854128369625 37104.551913077113568 44976.372143247077474 6913.8774530855916964 507.64969585226009485 153.20019719055812857 1957.991114954147406 1938.1022669427343317 3896.0933818968815103 -130.47314877317739956 0 -130.47314877317739956 649.47089266508578476 671.94440366060393899 767.04896740163508184 0 2088.464263727325033 -35.392529739428283619 12130.645020888463478 12984.005940195651419
11000 966.10193643672641883 41175.543427332580904 1.1703737670099627621 41876.666278389930085 38687.20322617693455 42962.760777430878079 3793.9246082708855283 2983.9527325631975145 -9.8170782989046081468 1901.6375316762669172 1871.8481349457858869 3773.4856666220530315 -192.63070517584301911 0 -192.63070517584301911 646.78779134373098714 683.65304144848482792 763.82740405989397914 0 2094.2682368521100216 -35.392529739428283619 11570.421040602483117 12984.005940195651419
