# Time-averaged data for fix dave
# TimeStep v_rho
251000 0.115034
252000 0.149585
253000 0.145617
254000 0.126824
255000 0.112507
256000 0.0989558
257000 0.0876976
258000 0.0789989
259000 0.0716597
260000 0.0657607
261000 0.0611873
262000 0.0577872
263000 0.0547137
264000 0.0518428
265000 0.0488397
266000 0.0465563
267000 0.0441848
268000 0.042833
269000 0.0411409
270000 0.039488
271000 0.0380751
272000 0.0368522
273000 0.0359471
274000 0.0347253
275000 0.0340563
276000 0.0334508
277000 0.032558
278000 0.0319302
279000 0.0312691
280000 0.0307082
281000 0.0300466
282000 0.0295165
283000 0.0290392
284000 0.0284733
285000 0.0280436
286000 0.0277186
287000 0.0272082
288000 0.0267779
289000 0.0265318
290000 0.0260964
291000 0.0257943
292000 0.0256393
293000 0.0253803
294000 0.0249876
295000 0.0247826
296000 0.0245854
297000 0.0242842
298000 0.0239917
299000 0.0237341
300000 0.0235178
301000 0.0234877
302000 0.0235246
303000 0.0235042
304000 0.0234566
305000 0.0233887
306000 0.0232394
307000 0.0231116
308000 0.0231004
309000 0.0231814
310000 0.0232919
311000 0.0235051
312000 0.0241392
313000 0.0246985
314000 0.0253054
315000 0.0254786
316000 0.0260566
317000 0.0276039
318000 0.029332
319000 0.0308758
320000 0.0314655
321000 0.0313316
322000 0.0312021
323000 0.0314157
324000 0.0323588
325000 0.0337169
326000 0.0349942
327000 0.036395
328000 0.0367234
329000 0.0368286
330000 0.0366093
331000 0.036362
332000 0.0361851
333000 0.0359184
334000 0.0356458
335000 0.0355998
336000 0.0353136
337000 0.0350687
338000 0.0347623
339000 0.0345422
340000 0.0343437
341000 0.034061
342000 0.0338307
343000 0.0337377
344000 0.0336488
345000 0.033393
346000 0.0332394
347000 0.0330107
348000 0.0327879
349000 0.0326435
350000 0.032532
351000 0.0324774
352000 0.0322742
353000 0.032034
354000 0.0319056
355000 0.0316945
356000 0.0314737
357000 0.0312578
358000 0.0310623
359000 0.0309142
360000 0.0307381
361000 0.0306136
362000 0.0304548
363000 0.0302949
364000 0.03011
365000 0.0300116
366000 0.0299666
367000 0.0297676
368000 0.0296163
369000 0.0294532
370000 0.0292831
371000 0.0292072
372000 0.0290824
373000 0.0289112
374000 0.0287599
375000 0.0286579
376000 0.0285181
377000 0.0283596
378000 0.0282085
379000 0.0280444
380000 0.0279023
381000 0.0277349
382000 0.027613
383000 0.0274656
384000 0.0273169
385000 0.0271741
386000 0.0270244
387000 0.0268943
388000 0.0267847
389000 0.0266348
390000 0.0265504
391000 0.0264131
392000 0.026309
393000 0.0261641
394000 0.0260635
395000 0.0259657
396000 0.0258546
397000 0.025801
398000 0.0257675
399000 0.0257548
400000 0.0257245
401000 0.0257884
402000 0.0259995
403000 0.0260692
404000 0.0260816
405000 0.0260367
406000 0.0259681
407000 0.0258976
408000 0.0258657
409000 0.025796
410000 0.0257473
411000 0.0256318
412000 0.0255218
413000 0.0253933
414000 0.0253002
415000 0.0251752
416000 0.0250775
417000 0.0249671
418000 0.0248565
419000 0.024756
420000 0.0246402
421000 0.0245478
422000 0.024437
423000 0.0243265
424000 0.024214
425000 0.0241504
426000 0.0240397
427000 0.0239494
428000 0.0238567
429000 0.0237505
430000 0.0236523
431000 0.0235503
432000 0.0234549
433000 0.0233579
434000 0.0232713
435000 0.0231716
436000 0.0230947
437000 0.0229922
438000 0.0229204
439000 0.022822
440000 0.0227446
441000 0.0226538
442000 0.0225667
443000 0.0224746
444000 0.022387
445000 0.0222985
446000 0.0222187
447000 0.0221618
448000 0.0220785
449000 0.0220073
450000 0.0219263
