# Time-averaged data for fix dave
# TimeStep v_rho
251000 0.664163
252000 0.66381
253000 0.646483
254000 0.629837
255000 0.622659
256000 0.605425
257000 0.601054
258000 0.596817
259000 0.595671
260000 0.591417
261000 0.585848
262000 0.584943
263000 0.585767
264000 0.582806
265000 0.58077
266000 0.579528
267000 0.577434
268000 0.578182
269000 0.578214
270000 0.577016
271000 0.577266
272000 0.574004
273000 0.573443
274000 0.572398
275000 0.572124
276000 0.570915
277000 0.571785
278000 0.571785
279000 0.572653
280000 0.572974
281000 0.574396
282000 0.574842
283000 0.575054
284000 0.575725
285000 0.576532
286000 0.578365
287000 0.578886
288000 0.579827
289000 0.580359
290000 0.581167
291000 0.582941
292000 0.584003
293000 0.585684
294000 0.585633
295000 0.58598
296000 0.586342
297000 0.585911
298000 0.585921
299000 0.586032
300000 0.586468
301000 0.586582
302000 0.586421
303000 0.585346
304000 0.58508
305000 0.585109
306000 0.584431
307000 0.583602
308000 0.583495
309000 0.58345
310000 0.583331
311000 0.583124
312000 0.583189
313000 0.583586
314000 0.58378
315000 0.584476
316000 0.585137
317000 0.585808
318000 0.585486
319000 0.58554
320000 0.586441
321000 0.587231
322000 0.587353
323000 0.586669
324000 0.586089
325000 0.58573
326000 0.584346
327000 0.583518
328000 0.583035
329000 0.582324
330000 0.581947
331000 0.582261
332000 0.58273
333000 0.583015
334000 0.583411
335000 0.583624
336000 0.584069
337000 0.584583
338000 0.584836
339000 0.58558
340000 0.586312
341000 0.586307
342000 0.586635
343000 0.587359
344000 0.587752
345000 0.587214
346000 0.587326
347000 0.587334
348000 0.587742
349000 0.587073
350000 0.586228
351000 0.585973
352000 0.585811
353000 0.585132
354000 0.584219
355000 0.583593
356000 0.583622
357000 0.58392
358000 0.584479
359000 0.58485
360000 0.584872
361000 0.584695
362000 0.584007
363000 0.583352
364000 0.582758
365000 0.582648
366000 0.581667
367000 0.580986
368000 0.58047
369000 0.579201
370000 0.577741
371000 0.576421
372000 0.575227
373000 0.574885
374000 0.57529
375000 0.575576
376000 0.575735
377000 0.575923
378000 0.575869
379000 0.575952
380000 0.575565
381000 0.575295
382000 0.574973
383000 0.573943
384000 0.573566
385000 0.572943
386000 0.572598
387000 0.572541
388000 0.572587
389000 0.572852
390000 0.572828
391000 0.572861
392000 0.57276
393000 0.572888
394000 0.572913
395000 0.572752
396000 0.572839
397000 0.572857
398000 0.572861
399000 0.573085
400000 0.573318
401000 0.573708
402000 0.57356
403000 0.573768
404000 0.573863
405000 0.573939
406000 0.573878
407000 0.573948
408000 0.573668
409000 0.573206
410000 0.573023
411000 0.572999
412000 0.573163
413000 0.573314
414000 0.573226
415000 0.573053
416000 0.572586
417000 0.572289
418000 0.572568
419000 0.572737
420000 0.572696
421000 0.572741
422000 0.572241
423000 0.572059
424000 0.572
425000 0.571906
426000 0.571806
427000 0.571716
428000 0.57147
429000 0.57107
430000 0.570845
431000 0.570677
432000 0.570402
433000 0.57018
434000 0.569836
435000 0.569672
436000 0.569235
437000 0.569035
438000 0.568784
439000 0.568762
440000 0.568717
441000 0.568708
442000 0.568751
443000 0.568645
444000 0.56844
445000 0.568347
446000 0.567919
447000 0.567709
448000 0.567566
449000 0.567695
450000 0.567946
451000 0.568113
452000 0.568146
453000 0.56822
454000 0.568312
455000 0.568266
456000 0.568415
457000 0.56836
458000 0.568393
459000 0.568592
460000 0.568827
461000 0.568783
462000 0.568601
463000 0.568452
464000 0.568379
465000 0.568216
466000 0.568135
467000 0.568247
468000 0.568257
469000 0.568206
470000 0.568234
471000 0.568362
472000 0.568397
473000 0.568342
474000 0.568365
475000 0.568463
476000 0.568197
477000 0.567922
478000 0.567643
479000 0.567562
480000 0.567736
481000 0.567974
482000 0.568058
483000 0.567973
484000 0.567969
485000 0.567831
486000 0.567664
487000 0.56776
488000 0.56773
489000 0.56763
490000 0.567389
491000 0.567083
492000 0.566892
493000 0.566795
494000 0.566729
495000 0.566175
496000 0.565735
497000 0.565461
498000 0.564813
499000 0.564573
500000 0.564474
501000 0.564433
502000 0.564372
503000 0.564492
504000 0.564589
505000 0.564567
506000 0.564503
507000 0.56457
508000 0.564549
509000 0.56454
510000 0.564483
511000 0.564492
512000 0.564409
513000 0.563994
514000 0.563706
515000 0.563553
516000 0.563423
517000 0.563342
518000 0.56345
519000 0.563322
520000 0.563369
521000 0.563353
522000 0.563395
523000 0.563505
524000 0.563682
525000 0.563646
526000 0.563657
527000 0.56383
528000 0.563871
529000 0.563834
530000 0.563956
531000 0.56415
532000 0.564084
533000 0.564179
534000 0.564217
535000 0.564343
536000 0.564477
537000 0.564524
538000 0.564396
539000 0.564262
540000 0.564227
541000 0.564181
542000 0.564352
543000 0.564509
544000 0.564629
545000 0.564724
546000 0.564887
547000 0.564869
548000 0.564953
549000 0.564984
550000 0.565015
551000 0.565187
552000 0.565461
553000 0.565602
554000 0.565834
555000 0.566019
556000 0.566185
557000 0.566219
558000 0.566216
559000 0.566284
560000 0.566424
561000 0.566352
562000 0.566449
563000 0.566288
564000 0.566379
565000 0.566562
566000 0.566624
567000 0.566537
568000 0.566498
569000 0.566671
570000 0.566848
571000 0.567016
572000 0.567154
573000 0.567048
574000 0.566949
575000 0.566968
576000 0.567118
577000 0.567196
578000 0.567345
579000 0.567524
580000 0.567632
581000 0.567785
582000 0.567957
583000 0.567977
584000 0.56807
585000 0.568237
586000 0.568421
587000 0.568546
588000 0.568614
589000 0.568505
590000 0.568469
591000 0.56849
592000 0.568515
593000 0.568619
594000 0.568464
595000 0.568152
596000 0.567985
597000 0.567881
598000 0.567688
599000 0.567646
600000 0.56747
601000 0.567293
602000 0.567044
603000 0.566739
604000 0.566597
605000 0.566404
606000 0.566053
607000 0.565847
608000 0.565589
609000 0.565685
610000 0.565859
611000 0.565917
612000 0.566031
613000 0.56604
614000 0.565975
615000 0.565987
616000 0.566016
617000 0.566074
618000 0.566061
619000 0.565999
620000 0.566028
621000 0.565992
622000 0.566027
623000 0.566054
624000 0.566153
625000 0.566217
626000 0.566288
627000 0.566316
628000 0.566332
629000 0.566577
630000 0.566704
631000 0.56685
632000 0.567029
633000 0.567161
634000 0.567253
635000 0.567447
636000 0.56766
637000 0.56787
638000 0.568026
639000 0.568174
640000 0.568315
641000 0.568481
642000 0.568547
643000 0.568604
644000 0.568888
645000 0.569087
646000 0.56932
647000 0.56941
648000 0.569543
649000 0.569764
650000 0.569912
651000 0.570044
652000 0.570087
653000 0.570247
654000 0.570486
655000 0.570668
656000 0.570876
657000 0.571139
658000 0.571329
659000 0.571536
660000 0.571746
661000 0.571917
662000 0.57209
663000 0.572343
664000 0.572608
665000 0.572854
666000 0.573065
667000 0.57324
668000 0.573452
669000 0.57355
670000 0.573729
671000 0.57385
672000 0.57404
673000 0.574208
674000 0.574337
675000 0.574433
676000 0.57454
677000 0.574556
678000 0.574553
679000 0.574527
680000 0.574569
681000 0.57472
682000 0.574852
683000 0.574911
684000 0.574963
685000 0.57487
686000 0.574857
687000 0.574917
688000 0.57502
689000 0.575154
690000 0.575267
691000 0.575306
692000 0.575387
693000 0.575424
694000 0.575612
695000 0.575693
696000 0.575771
697000 0.575871
698000 0.575972
699000 0.576049
700000 0.576083
701000 0.57608
702000 0.576111
703000 0.576099
704000 0.576159
705000 0.576155
706000 0.576263
707000 0.576369
708000 0.576522
709000 0.576658
710000 0.576819
711000 0.57699
712000 0.577115
713000 0.57721
714000 0.577262
715000 0.577362
716000 0.577474
717000 0.577329
718000 0.577165
719000 0.577098
720000 0.576999
721000 0.576989
722000 0.577065
723000 0.57715
724000 0.577343
725000 0.57742
726000 0.577379
727000 0.577284
728000 0.577241
729000 0.577206
730000 0.577202
731000 0.57713
732000 0.577176
733000 0.577249
734000 0.577278
735000 0.577292
736000 0.57736
737000 0.577328
738000 0.577307
739000 0.577309
740000 0.577166
741000 0.577223
742000 0.577187
743000 0.577085
744000 0.577016
745000 0.576944
746000 0.576767
747000 0.576752
748000 0.576761
749000 0.57678
750000 0.576837
751000 0.576824
752000 0.576923
753000 0.57701
754000 0.577098
755000 0.577246
756000 0.577395
757000 0.577558
758000 0.57775
759000 0.577909
760000 0.577987
761000 0.578103
762000 0.578204
763000 0.57831
764000 0.578419
765000 0.578508
766000 0.578593
767000 0.578724
768000 0.578775
769000 0.578865
770000 0.578971
771000 0.579089
772000 0.57918
773000 0.579168
774000 0.579308
775000 0.579398
776000 0.579531
777000 0.579557
778000 0.579526
779000 0.579528
780000 0.579577
781000 0.579611
782000 0.579676
783000 0.579708
784000 0.579761
785000 0.579865
786000 0.579878
787000 0.579838
788000 0.579756
789000 0.579709
790000 0.579597
791000 0.579571
792000 0.579471
793000 0.579278
794000 0.57922
795000 0.579183
796000 0.579153
797000 0.579015
798000 0.578942
799000 0.578931
800000 0.578855
801000 0.578856
802000 0.578896
803000 0.578874
804000 0.578758
805000 0.578712
806000 0.578601
807000 0.578413
808000 0.578287
809000 0.578131
810000 0.578046
811000 0.577917
812000 0.57787
813000 0.577718
814000 0.577721
815000 0.577735
816000 0.577635
817000 0.577579
818000 0.577636
819000 0.577572
820000 0.577541
821000 0.577487
822000 0.577365
823000 0.577149
824000 0.576904
825000 0.57671
826000 0.576633
827000 0.576618
828000 0.576595
829000 0.576654
830000 0.576704
831000 0.576737
832000 0.576823
833000 0.576768
834000 0.576644
835000 0.576523
836000 0.576523
837000 0.576515
838000 0.576586
839000 0.576622
840000 0.576609
841000 0.57656
842000 0.576537
843000 0.576572
844000 0.576666
845000 0.576728
846000 0.576847
847000 0.576898
848000 0.576929
849000 0.576948
850000 0.57701
851000 0.577083
852000 0.577184
853000 0.577263
854000 0.577382
855000 0.577468
856000 0.57754
857000 0.577563
858000 0.577594
859000 0.577615
860000 0.577584
861000 0.577663
862000 0.577723
863000 0.577745
864000 0.577734
865000 0.577675
866000 0.577664
867000 0.577663
868000 0.577652
869000 0.577657
870000 0.577727
871000 0.577804
872000 0.577861
873000 0.577935
874000 0.57801
875000 0.577895
876000 0.577856
877000 0.577851
878000 0.577888
879000 0.57777
880000 0.577701
881000 0.577666
882000 0.577546
883000 0.577535
884000 0.577538
885000 0.577565
886000 0.577552
887000 0.577543
888000 0.577589
889000 0.577615
890000 0.577666
891000 0.577778
892000 0.577876
893000 0.577896
894000 0.577962
895000 0.577963
896000 0.577986
897000 0.577981
898000 0.577964
899000 0.577893
900000 0.577874
901000 0.577887
902000 0.577922
903000 0.577963
904000 0.577999
905000 0.577895
906000 0.577896
907000 0.577925
908000 0.577948
909000 0.577949
910000 0.577992
911000 0.57803
912000 0.578033
913000 0.578028
914000 0.578011
915000 0.578087
916000 0.578091
917000 0.578027
918000 0.57799
919000 0.578034
920000 0.578028
921000 0.578061
922000 0.578129
923000 0.5782
924000 0.57817
925000 0.578168
926000 0.578142
927000 0.578146
928000 0.578054
929000 0.577848
930000 0.577778
931000 0.577765
932000 0.577841
933000 0.577852
934000 0.5778
935000 0.577762
936000 0.577644
937000 0.57759
938000 0.577583
939000 0.577575
940000 0.577582
941000 0.577588
942000 0.577537
943000 0.57758
944000 0.577622
945000 0.577621
946000 0.577647
947000 0.577743
948000 0.577713
949000 0.577737
950000 0.577824
951000 0.577835
952000 0.577837
953000 0.577884
954000 0.577923
955000 0.577936
956000 0.577982
957000 0.578072
958000 0.578027
959000 0.577979
960000 0.577983
961000 0.577959
962000 0.577909
963000 0.577972
964000 0.577992
965000 0.577947
966000 0.577932
967000 0.577962
968000 0.577982
969000 0.578037
970000 0.578111
971000 0.578203
972000 0.578256
973000 0.578194
974000 0.57814
975000 0.578086
976000 0.57807
977000 0.578022
978000 0.577902
979000 0.577856
980000 0.57786
981000 0.577816
982000 0.577771
983000 0.577789
984000 0.577764
985000 0.577767
986000 0.577718
987000 0.577681
988000 0.577669
989000 0.577663
990000 0.577646
991000 0.57763
992000 0.577615
993000 0.577638
994000 0.577645
995000 0.577655
996000 0.577627
997000 0.577657
998000 0.577626
999000 0.577574
1000000 0.577486
1001000 0.577427
1002000 0.57742
1003000 0.577283
1004000 0.577156
1005000 0.576945
1006000 0.576782
1007000 0.57669
1008000 0.576656
1009000 0.576509
1010000 0.576221
1011000 0.576026
1012000 0.575903
1013000 0.575857
1014000 0.575816
1015000 0.575682
1016000 0.575416
1017000 0.575266
1018000 0.575267
1019000 0.575269
1020000 0.575232
1021000 0.575219
1022000 0.575208
1023000 0.575208
1024000 0.575168
1025000 0.575159
1026000 0.575131
1027000 0.575097
1028000 0.575138
1029000 0.575176
1030000 0.575176
1031000 0.575126
1032000 0.575004
1033000 0.574852
1034000 0.574716
1035000 0.574562
1036000 0.574487
1037000 0.574457
1038000 0.574497
1039000 0.574507
1040000 0.574423
1041000 0.574385
1042000 0.574347
1043000 0.574327
1044000 0.574235
1045000 0.574117
1046000 0.574037
1047000 0.574037
1048000 0.574077
1049000 0.574102
1050000 0.574096
1051000 0.574108
1052000 0.574077
1053000 0.574044
1054000 0.57395
1055000 0.573913
1056000 0.573924
1057000 0.573921
1058000 0.573937
1059000 0.574004
1060000 0.574064
1061000 0.574122
1062000 0.574127
1063000 0.574225
1064000 0.574322
1065000 0.574445
1066000 0.574559
1067000 0.574678
1068000 0.574702
1069000 0.574734
1070000 0.574799
1071000 0.574844
1072000 0.574874
1073000 0.574873
1074000 0.574894
1075000 0.574938
1076000 0.575017
1077000 0.57509
1078000 0.575193
1079000 0.575316
1080000 0.575442
1081000 0.575497
1082000 0.575599
1083000 0.575688
1084000 0.575756
1085000 0.575711
1086000 0.575692
1087000 0.57562
1088000 0.575451
1089000 0.575425
1090000 0.575384
1091000 0.57532
1092000 0.575352
1093000 0.575381
1094000 0.575348
1095000 0.575335
1096000 0.575306
1097000 0.575206
1098000 0.575149
1099000 0.575111
1100000 0.575087
1101000 0.575089
1102000 0.575133
1103000 0.57519
1104000 0.575258
1105000 0.575297
1106000 0.575345
1107000 0.575396
1108000 0.575407
1109000 0.575446
1110000 0.575466
1111000 0.575525
1112000 0.575546
1113000 0.575558
1114000 0.575592
1115000 0.575649
1116000 0.575747
1117000 0.575846
1118000 0.575933
1119000 0.575968
1120000 0.57602
1121000 0.575993
1122000 0.575972
1123000 0.575942
1124000 0.575953
1125000 0.575972
1126000 0.576009
1127000 0.576051
1128000 0.576087
1129000 0.576161
1130000 0.576221
1131000 0.576298
1132000 0.576396
1133000 0.576446
1134000 0.576512
1135000 0.576558
1136000 0.576533
1137000 0.576528
1138000 0.576513
1139000 0.576449
1140000 0.576431
1141000 0.576338
1142000 0.576348
1143000 0.576281
1144000 0.576174
1145000 0.576134
1146000 0.576197
1147000 0.576215
1148000 0.576223
1149000 0.576256
1150000 0.576245
1151000 0.576289
1152000 0.576316
1153000 0.576369
1154000 0.576415
1155000 0.576473
1156000 0.576494
1157000 0.576502
1158000 0.576547
1159000 0.576587
1160000 0.576629
1161000 0.57671
1162000 0.576784
1163000 0.576857
1164000 0.576907
1165000 0.576963
1166000 0.577047
1167000 0.577118
1168000 0.577173
1169000 0.577237
1170000 0.577278
1171000 0.577297
1172000 0.577323
1173000 0.577345
1174000 0.577306
1175000 0.577279
1176000 0.577319
1177000 0.577297
1178000 0.577255
1179000 0.577227
1180000 0.577221
1181000 0.577261
1182000 0.577283
1183000 0.577296
1184000 0.577336
1185000 0.577358
1186000 0.577362
1187000 0.577383
1188000 0.577438
1189000 0.577516
1190000 0.577558
1191000 0.57761
1192000 0.577669
1193000 0.577735
1194000 0.577735
1195000 0.577784
1196000 0.577845
1197000 0.577829
1198000 0.577879
1199000 0.57788
1200000 0.577954
1201000 0.578
1202000 0.578021
1203000 0.578047
1204000 0.578083
1205000 0.578133
1206000 0.578152
1207000 0.578127
1208000 0.578134
1209000 0.578137
1210000 0.578163
1211000 0.57819
1212000 0.578197
1213000 0.578234
1214000 0.578301
1215000 0.578324
1216000 0.578305
1217000 0.578261
1218000 0.578254
1219000 0.578255
1220000 0.578292
1221000 0.578321
1222000 0.578347
1223000 0.578326
1224000 0.578277
1225000 0.578226
1226000 0.578156
1227000 0.578117
1228000 0.578069
1229000 0.578061
1230000 0.578035
1231000 0.578049
1232000 0.578081
1233000 0.578092
1234000 0.578109
1235000 0.578109
1236000 0.578089
1237000 0.578092
1238000 0.578076
1239000 0.578048
1240000 0.578087
1241000 0.578097
1242000 0.57812
1243000 0.57815
1244000 0.578164
1245000 0.578199
1246000 0.578235
1247000 0.578264
1248000 0.578273
1249000 0.578289
1250000 0.578259
