# step temp press density pxx pyy pzz pxy pxz pyz pe ke etotal evdwl ecoul epair ebond eangle edihed eimp emol etail enthalpy vol
0 373.15000000000009095 72379.107188082867651 1.1957604960558128049 73927.758349397961865 73102.476023604947841 70107.087191245678696 -4267.3516633691378956 1759.9256765494135379 1441.1863522816263412 59.087794749937920358 65.625066939292509005 124.71286168923043647 31.410652096596745508 0 31.410652096596745508 6.1154713550039137004 7.4402108009645182563 14.121460497372744669 0 27.677142653341171297 -3.7954665893208132665 1387.9067610957119996 1196.6879239736317686
1000 831.72889353135758483 93551.481885158893419 1.1957604960558128049 81542.630189693983993 103196.20934439705161 95915.60612138567376 10058.311533563473859 -8800.7455010924622911 -4108.1359178769398568 226.58271632474867374 146.27432483810537178 372.85704116285404552 85.515766956119406927 0 85.515766956119406927 55.020933789453351892 51.959152191262866438 34.086863387913098222 0 141.06694936862930945 -3.7954665893208132665 2005.5610877972646904 1196.6879239736317686
2000 1106.9550023583974507 82884.133191573579097 1.1957604960558128049 84178.224594582832651 88524.273332983633736 75949.901647154270904 -9650.6927483229865175 5209.293520983432245 7397.8559417887699965 224.49794508248868397 194.67773315973340686 419.17567824222209083 86.859854799180695295 0 86.859854799180695295 50.233789903819257461 67.836070276623360087 19.568230102865364017 0 137.63809028330797446 -3.7954665893208132665 1865.7081856565787348 1196.6879239736317686
3000 1101.537644628527687 101499.74540666450048 1.1957604960558128049 96846.349823107841075 100007.80961099491105 107645.07678589073475 -10586.497398411827817 -11.642025893369751799 -13362.796488650901665 263.82495955399696186 193.72499441216058358 457.54995396615754544 83.637203215444230864 0 83.637203215444230864 79.070425227243887889 66.321219695523794257 34.796111415785070164 0 180.18775633855275942 -3.7954665893208132665 2228.97079860072472 1196.6879239736317686
4000 934.43729409921593287 90814.226556168156094 1.1957604960558128049 62797.406394049830851 104653.42211680715263 104991.85115764744114 12043.278817031168728 6230.2504855968154516 6109.1554209706873735 237.33598608512755845 164.33742456339916771 401.67341064852672616 92.577863923342988528 0 92.577863923342988528 63.031164463674343779 58.201892142734436675 23.52506555537583921 0 144.75812216178459835 -3.7954665893208132665 1986.605602019319349 1196.6879239736317686
5000 852.18327595840287358 92990.22981794392399 1.1957604960558128049 85458.444728800852317 96938.578216160094598 96573.666508870810503 -2042.7300763794064551 -2449.7653694881632873 -9381.8678054338506627 227.65943331945442196 149.87159193170509752 377.53102525115951948 83.68576872990060167 0 83.68576872990060167 52.109689295763999439 63.975895540327343269 27.888079753462506005 0 143.97366458955386292 -3.7954665893208132665 2000.4398393263606977 1196.6879239736317686
6000 1153.7150758435222997 94844.351693016840727 1.1957604960558128049 89246.860479999813833 86407.425566834455822 108878.76903221629618 2066.3124481102427126 -2529.2876468137055781 6069.9998521972720482 254.65612522265394091 202.90132408174210354 457.55744930439607288 100.44345495473690733 0 100.44345495473690733 64.450017447583633157 55.887710621147405732 33.874942199185994696 0 154.21267026791704779 -3.7954665893208132665 2112.8252621616911711 1196.6879239736317686
7000 990.61821957248776016 88117.295077810573275 1.1957604960558128049 96247.359891352316481 84067.268546141509432 84037.256795937923016 -5554.2172380609699758 -11758.303503700031797 -10359.472135705040273 233.90631680464122155 174.21783993227191445 408.12415673691316442 84.157026175239096233 0 84.157026175239096233 60.596892466680614575 60.125459331442804967 29.026938831278741304 0 149.74929062940213953 -3.7954665893208132665 1945.9882434718488184 1196.6879239736317686
8000 971.52738549141031399 86577.338039412075887 1.1957604960558128049 88142.361821198559483 82269.081432906721602 89320.570864130961127 -13246.719418266593493 321.78255323583084646 1853.5821876742088534 202.47041944251265022 170.86037707685818532 373.33079651937083554 62.529700673268720834 0 62.529700673268720834 57.170885365102385833 55.849141112058809711 26.920692292082755159 0 139.9407187692439436 -3.7954665893208132665 1884.3188355683614645 1196.6879239736317686
9000 1174.2733008075485941 87728.186489184256061 1.1957604960558128049 62245.251564462399983 108874.90844766637019 92064.399455423976178 -12097.898980960657354 -7553.5288858290032294 539.0726885226874856 241.77222532549626521 206.51685373313500804 448.28907905863127326 98.733943112943549636 0 98.733943112943549636 58.138968954655709354 64.454423310793870883 20.444889947103124683 0 143.03828221255270137 -3.7954665893208132665 1979.3622614227492704 1196.6879239736317686
